Date;Precio(en dólar);Apertura;Máximo;Mínimo;Volumen;Cambio%
2021-05-31;353.74;325.6;355.43;307.9;4.97M;8.65
2021-05-30;325.59;304.81;337.77;291.72;4.52M;6.83
2021-05-29;304.76;329.31;346.88;296.43;4.57M;-7.45
2021-05-28;329.31;369.79;373.28;313.42;6.31M;-10.38
2021-05-27;367.46;379.2;387.17;340.81;5.18M;-3.1
2021-05-26;379.22;343.76;387.25;337.4;5.82M;10.31
2021-05-25;343.77;345.44;374.86;307.55;7.93M;-0.36
2021-05-24;345.02;261.56;349.89;257.97;8.07M;31.9
2021-05-23;261.57;299.25;312.85;212.41;9.23M;-12.59
2021-05-22;299.25;326.44;334.69;286.5;5.57M;-8.33
2021-05-21;326.44;391.12;414.79;276.78;9.21M;-16.86
2021-05-20;392.64;335.09;423.5;287.48;8.49M;17.16
2021-05-19;335.12;508.27;515.55;282.3;11.92M;-34.07
2021-05-18;508.28;511.79;533.45;496.65;2.86M;-0.68
2021-05-17;511.76;563.37;563.38;484.3;4.24M;-9.17
2021-05-16;563.41;562.84;606.53;535.01;3.07M;0.1
2021-05-15;562.85;602.44;610.39;560.58;2.38M;-6.57
2021-05-14;602.46;571.76;614.69;566.69;2.30M;5.37
2021-05-13;571.76;585.61;632.91;527.16;5.74M;-2.36
2021-05-12;585.6;671.61;684.51;585.35;2.92M;-12.89
2021-05-11;672.26;631.66;672.98;622.87;2.78M;6.42
2021-05-10;631.68;661.65;690.87;592.52;3.24M;-4.53
2021-05-09;661.65;646.17;678.27;631.44;2.45M;2.39
2021-05-08;646.18;624.35;657.77;618.73;2.33M;3.55
2021-05-07;624.02;633.99;644.14;612.12;2.26M;-1.46
2021-05-06;633.28;650.81;653.58;620.02;2.35M;-2.72
2021-05-05;650.99;620.81;656.35;620.55;2.55M;5.01
2021-05-04;619.96;676.25;677.67;619.79;4.13M;-8.37
2021-05-03;676.56;621.96;679.98;621.56;3.14M;8.78
2021-05-02;621.95;619.91;628.93;595.75;2.35M;0.34
2021-05-01;619.84;623.25;643.21;611.49;2.72M;-0.56
2021-04-30;623.33;599.89;627.71;586.03;3.75M;3.82
2021-04-29;600.38;563.22;614.64;554.73;4.73M;6.74
2021-05-28;562.49;568.8;578.8;539.59;2.67M;-1.11
